Comment,Author
세상 사람들이 좋아해주고 띄워줄때 좀 더 겸손하고 낮은 자세로 임하셨다면 좋았을텐데요세상이 발아래로 보이셨을 듯그 결과는 결국 본인에게 부메랑이 되어 돌아오네요법적인 것은 잘 모르겠지만잘 나가는 사업을 접게 된 것이 안타깝네요,@HJ-lb9nj
대기업이 인성검사로 사람 걸르는게 이유가 있구나 싶고 회사 운영하는게 정말 쉽지 않구나 생각이든다,@user-zx9le5bf5o
진짜 해명하는 내용들 보면 무슨 다 말도안되는걸로 억까하고있었네 ㅅㅂ ㅋㅋㅋㅋㅋ 트위터여론만 없었어도 이정도는 아녔다 어휴,@sbL7
녹취록있다 강형욱두고봐라 특공개 기다리다가 늙어 죽겠긔,@user-od4nc6wv2j
자신의 이득을 위해서 사람을 죽일 수도 있는 악독한 말들을 뱉는 인간들이 현재  여자들이다  벌레 등등 이런 말은 뱉은 그 여자의 말버릇이겠지 사람이 나이를 먹어서 좋은 건 사람 보는 눈이 생긴다는 것이다 강형욱이 벌레라는 말을 사람에게 뱉지 않을 사람이라는 것이 보이지 않는가 적당히 했어야지부처님 말씀에 이런 말이 있다 39지은 인연의 과보는 피할 수가 없다 깊은 산속 깊은 바다 속에 숨는다 하더라도39 부처 반드시 과보를 받게 될 것이다 멍청한 여자들아 솔직히 토나온다 역겹고,@freesttful
강훈련사님볼려고 알람맞춰놓고 월욜만기다렸는데 무슨이런일이있어요 나쁜시키들 얼굴공개해주세요,@marinrose7677
1만원은 진짜 선넘긴했네대놓고 ㅡ엿먹인거지 뭐,@user-bf1ul2mj1n
동의없이 열람하는건  불법이라고 하는데 관리자 페이지에서 왜 볼수있게 허용하는 기능이 있을까요,@minakim7326
강형욱 훈련사님응원합니다힘내세요,@user-mc2rv5sh3k
강개통령님  레오얘기하니눈물이  하염없이 나네요진심으로 사랑이 느껴지네요,@user-rc7uw4mb7f
카카오톡을 훔쳐봤거나 타 메신저아이디 해킹해서 본거면 모르겠는데 네이버에서 직접 네이버 웍스라는 프로그램 만든 후 관리자 모드 만들어서 관리자가 볼 수 있게 만든건데 그 기능을 정당하게 사용한 대표가 잘못한거야 아니면 네이버 잘못 불법이면 네이버에 고소해야하는거 아닌가해서 일반적으로  대기업에서 만든 프로그램을 돈 내고 그 기능 사용한건데 이게 회사 대표 잘못인가요,@user-so1tn4jp1x
사건반장 동네에 하나쯤 있는 뒷담화 같이 까주는 떠벌 칭구같고 좋네,@minakim7326
당당하면 신상까고 인터뷰해 ㅅㅂ 숨어서 짖거리지말고 피해자코스프레하지마라,@user-xm7vs2np7u
설마 사건반장 여시번방 공론화되는거 막을려고 강형욱으로 물타기 하는거아님,@kimmingu1773
직원을 두고 일을 시작하면서 인사 노무를 민원 넣었던 직원을 통해서 배우게 되었다는 것이 참 무능하게 들립니다 이사직에 앉은 부인은 많이 부족해보이는데 왜 이사직에 앉으셨을까요 이래서 가족회사는 다니는게 아닙니다,@user-tr8iy8iw4z
진짜 세상살이 힘드네요  참너무들하네힘내세요,@user-ne3nn5wt4r
전 직원이랑  꼭 고소 하셨으면 좋겠습니다 응원합니다,@user-ww4nk4lf8p
괜차나 괜차나요 딩딩딩 괜차나 ㅎㅎ,@user-yu3ln6fe6m
중소기업이라도 직원을 아껴주는 대표가 있으면 급여가 적어도 계속 다니게되는게 사람 마음인데 저는 전 직원분들에게 더 마음이 가긴 하네요 특히 표준근로시간있는 직원을 프리랜서로 계약ㅎㅎ 이걸로 노동법 받으신거잖아요 이거 정말 꼼수인데다가 후려치기라 이런곳 가면 안되는건데ㅎㅎㅎ 보듬이 중소라도 매출이 나오는데 노무사 고용도 없이 일하셨나 싶을 정도네요 강형욱 훈련사님께서 훌륭한 훈련사인건 맞지만 훌륭한 대표가 되기엔 부족하셨던 것 같다는 생각이 드네요 특히 퇴직금 관련으로 옹호하는분들은 나중에 이직하시거나 취직하실때 39표준근로시간을 지켜야하지만 프리랜서로 계약되어 퇴직금 최저시급 안줘도되는39 회사 꼭 피하세요 그냥 피하시고 대표가 그런말하면 노동청가시는게 맞아요 걱정되어서 하는말입니다,@user-vf9ji9vm8g
한남애비 기생해서 4년제 졸업하고 취업한게 자랑이라고 일찍 자립한 고졸출신들 애비차이난다고 갈라치기 하는거임,@user-il7ge2uj2o
힘내세요,@user-wj6dh4dy8m
전 직원들 여자들 고소한다네요ㅋㅋㅋㅋㅋ이래도 여자직원뽑으실건가요,@Jaehoklee
