Comment,Author
훈련소에맡긴 개의견주가 입금이조금이라도 늦어지면 그시간부터 개밥을 주지말라더군요다른훈련소랑 착각한건가보듬은 위탁 안하는데 저 댓글은 모지진짜 싫다,@user-eq9cj6kh5v
응 잘가,@sehoonkim5103
민변이 ㅡ 좌파변호사 ㅡ개입했대요 민변을 이길수 있는 변호사 선정해야된답니다  힘내세요,@user-tu7vp3kz4w
로 감시했으면 과연 의자 똑바로 앉아있어라 이야기만 나왔을까,@swws430
업무용 메신저로 누가 저런 얘기를 나눠요ㅁㅊ인간인가저래놓고 뻔뻔하네요,@Hehekitt
두 번 다시 월급 주는 입장이라고 갑질 억압 등 인격을 무시하는 태도그런 나쁜 언행은 멀리 하고 사십시오,@user-er3eo1xj2c
응원해요지혜로운 처신에 믿음이 갑니다잘 이겨내시고더욱 성숙해지는 계기가 도시길 빕니다,@won-vz1mw
형욱이형  나야 동생  알잖아 우리나라 종특  어떻게든 형을 아래로깔고싶은거야 형은 늘 잘했고 모범보여줬고 강아지란 생명에 대해서 최선을 다 했어 너무 걱정하지마 형 이 작은나라 대한민국에서 뭔들알까 형 힘내  누구보다 형 열심히하는거 어깨너머로도 알고 이 댓글을 봐줄순없을지도 모르겠지만 든든하게 마음가져 형 가 되서 달고 확인하는거 사업장 주인이라면 그런거 누구나 일상이야 형 지금 이 사건이 이번 타겟이 되었다 생각하고 어느 사회가 무너져서 형이타겟이 된진 모르겠지만 앞으로도 누군가는또 이상처를 짊어지고 가야할 때가 오는거니까 형 너무 힘들어하지 않았음 좋겠고 형이 좋아하고 할수있는 모든거 해서 지속적으로 에 나와줬으면 좋겠어 나는 형이 나오는 채널 다 챙겨볼정도로 좋고 형이 개라는 동물과 정말 진심으로 교감을 다 한다라 는게 느껴지는걸 그니까 앞으로도 좋은 방송해주고 주작없이 이 시대에서 올곧게 나아줬으면 해 형 절대 힘들어 하지도 나쁜마음 먹지도말고 항상 응원할게 화이팅해 진심이야 나도 내삶에 대해서 최선을 다 할테니 너무 어려워 마 유명한 사람일수록 더 남들에게 미움받고 사는법이니 죄책감이나 이런거 가지지않고 힘차게 이겨내고 형 스타일 대로 했으면 좋겠다 화이팅 ㅎㅎ,@user-br1wd4bh2r
남직원이 한남이라고 험담했다면 성별 얘기했겠지 러블리라고 표현하는데 ㅋ역시 날조는 한녀 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,@user-xn8ym3po4r
힘든 시간을 보내고 계시겠네요 잘 극복하실 거라 믿습니다정확한 확인도 하지 않고기사화 시킨 매체도 또 그걸 믿을뻔 했던저도 반성해야 할것같습니다힘든 얘기 해주셔서 고맙습니다 제발 힘내주세요,@user-bb9os8lu1i
고생 많으십니다그동안 많은 훈련프로그램 통해 좋은 시간 함께 했었는데 힘든일이 있으셨네요잘해결되시고 좋은마무리 하시길요,@YS_tv
강훈련사님 끝까지 힘내시고 버티면 이시간도 지나가요,@user-kf9su6dd8v
사람하나 우습게 만드는게 정말 쉬운듯어느쪽이 진실이든 회사 오래다녀본 경험칙상 직원들은 잘해줘도 지랄인것들이 많거든항상 불만이고 여차하면 고용부 들먹거리는 누구든 100프로 왼벽할 수는 없겠으나이번건은 강씨가 강하게  대응하는게옳아보인다,@user-lm6wj7fk3x
훈련사님을 응원하고 지지하고 있어요훈련사님을 믿는 우리들이 있으니 힘내세요,@jumekoung
회사 야 망하든말든좋은소리듣고 일안하고 놀더라도 최고 대우받고 싶고 사장따위야 뭐 빠지게 일해서 내월급 맞춰주는 인간이고오늘기분에 따라 몇년전 기분 나쁜거 한번 각색해서 ㅍㅁ 애들한테 선동하고회사 없애고아님 말고,@user-vr2sz6ys6z
그냥 쌍방 동귀어진으로 끝내라 ㅋㅋ 심적으로 이해한다만 6개월치 다 본 건 아내가 현명하지 못했네,@user-bf6bw9hh1h
강형욱 부인분 인상 사실 보통 아니게는 보이십니다직원들 메신저는 왜 염탐해서 이 사단을 만드는지명절 선물을 햄을 잘못 시켰다는 것도 이해는 안 간다 선물용 햄 선물 박스를 주문하는 것이 뭐가 어려워서 잘못 시킬 게 뭐가 있나단가 낯출려고 낱개 햄을  대량 주문해 일인당 몇개씩 나눠 준거 아닌지강형욱도 가져가고 안 가져가고의 문제가 아니다제법 이름이 난 회사인데 명절 선물로 낱개햄을 몇 개 이런 식으로 주면 좀 무시 당하는느낌은 있을 것 같다그건 명절 선물의 의미가 없는 것 같고 누가 햄 몇 개를 못 사먹나 직원 처우가 벌써 문제가 있어 보인다,@user-er3eo1xj2c
강형욱 훈련사님힘내세요,@user-so4el4dr8y
욕하는 애들이나무조건 빨아주는 애들이나 ㅋㅋ거기서 거기,@user-cc4wh7ok3z
개는훌륭하다에서 이번주 결방 저방송 나왔으면 좋을텐데 ㅜ못본본사람들도 많고 짜집기해서 또 악의적기사들도 올라오니요,@user-gw9rw5gz9x
보듬 컴퍼니는 어떤 경우인지 모르겠고사업자계약을 하셔서 퇴직금 안주셨다고 했는데 이게 실제로 그 근로의 실질적인 성격이 뭔지가 중요하더라구요프리랜서 계약이나 근로자계약이나 계약서를 아예 안쓰시는 분들이 많아요사용자분들 세금 등 비용 줄이려고 하는 경우가 많은데 그 근로의본질이 능력을 파는 프리랜서가 아니고 누가봐도 근로자라면그냥 근로계약서 쓰세요누가봐도 알바생인데 사용자분께서근로계약서 안써주신다고 하면 근로자입장에서는 방법이 없어요 그냥 넘어가던지 아니면 노동청에 신고히던지그런데 계약서 안써도 그 실질이 근로에 해당하면 오히려 사용자님이 불리해지세요,@user-co4ch9ck5u
개는 훌륭하다 계속 해주세요 반려견 잘 모르는사람들에게 잘 알려주세요,@user-gw9rw5gz9x
50년넘게 살면서강아지에 관한건 진짜 진정성 있는분삶은 언제나 고난과 역경이 따르는데아마도 인기탑이다보니 언론에서 이슈로다루고 멀 덮기위해 이리도 소소한 일을 뉴스에서 다루는지 흥미로왔어요하지만국민들은 바보아닙니다뭘 시선을 바꾸려고 터트리는지이선균씨 처럼 힘내세요 국민들은 암니다진짜 기죽지마세요 저희 아이들이 늘응원합니다,@nakyung0930
여시들 한트럭와도 강형욱 하나 못 이기네 ㅋㅋㅋㅋㅋㅋ,@user-xn8ym3po4r
여러 이야기들 때문에 힘드셨다 들었는데여러 의미로 충격적이네요8ㅅ8 억울하시고 어이없으신 여러 일들로 억울한 누명으로 힘드신 일들로 정신적 충격 많으셨을텐데 힘내시고 앞으로 좋은일 많이 생기길 기원해요부디 앞으로는 이러한 비난으로 힘드신 일들이 안 생기길현재 등에 마녀 사냥이 많이 생겨 소수의 비난도 과장해서 누명을 만드니 제발 이러한 일들이 안 생기길레오도 강형욱님을 만나서 행복하게 보냈을 거예요 좋아하는 사람들 곁에서 편하고 따듯한 잠에 들었으니너무 힘들어 하지 마세요,@user-tn9ih6ol2t
너내는 그냥 딱 한마디 그냥 지겠다 진심으로 프리랜서가 자기능력것 버는건데 너내가 그 충족을 못시키거나 그 벌이 부분을 계약 조건을 못맞추었으면 적어도 이야기를 해서 풀어야지 이게 뭔사건임,@user-py4gi5rv8o
한남들아 이 영상에 왜 번방 얘기가 나오냐고 번방이랑 틴더 앱 후기 공유하는 거랑 진짜 같다고 보는거야 너네 틴더도 몰라  번방도 모르는가보네ㅜ 그남들의 능지ㅜ,@user-um4kt7dh8r
고쳐야할 점이 있다면 고치고 서로 양보할건 하고 대화할 수 있는 것은 대화를 해서 관련된 분들이 모두 원만하게 나아가길 바랍니다,@afternoonhiho
힘내세요 항상 응원 합니다,@lyracho4185
에서 가족 건든 인간들니들이 있기에학폭이나 따돌림 같은것은 없어지지 않는다왜냐 니들도 애들을 낳고 키울거니까멀 보고 배우겠냐가정교육이 잘 되것냐어딜가든 멀 하든  잘되는게없을거다,@user-cl3tr6mp8i
근데 강형욱 쪽도 잘못이 꽤 있어 ㅋㅋ폭로자들이 과장 없이 담백하게 갔으면 쉽게 이겼을 일을ㅋㅋ어쨌든 폭로자가 말했던 일들이 전반적으로는 있었던 일이라는 거고 강형욱 쪽은 그렇게 한 이유가 있다는 거니깐ㅎㅎ,@dooosomething
렉카 채널 강형욱 논란 다룬 거 삭제됐네 ㅋㅋㅋㅋ,@runo___180
아 모르겠는데영상을 다 보고나니 해명이 완벽하지도 않고 뭔가 해소되지 않아그 워딩을 쓴 직원들을 보면 직원들도 문제가 있었을 것 같긴한데 강형욱 측도 완벽하게 해명되지 않는 찝찝함이 있네이건 모르겠다,@fius-vr8tz
강형욱 훈련사님 항상 응원합니다,@GOMGGII_DIARY
일단 다른건 모르갰고 여기 댓글들 보니 240대 한국여자랑 같이 일하기 싫네요 ㅠ,@phsskc6799
강형욱 훈련사님 자라섬댕댕 페스티벌 갔었어요 훈련사님 교육 영상 늘 보고 있고 유익하고 배울게 많아요,@user-nx6id7bg4d
강형욱 훈련사님 힘내세요 진실은 언젠가 밝혀지게 될겁니다,@user-fm8km1qi2f
난 진짜 궁금한게 한남싫으면 갈길 가면 되지 30대 40대 아줌마들 블라인드에서 시비 엄청걸더라 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,@user-xn8ym3po4r
감정상하거나 정산에 불만이 있거나 이유는 다양할지 몰라도 이렇게 엿먹이고 짬시키려고 달려들었던 인간들을 절대로 용서하지 마시고 법적처벌과 민사소송을 진행하시기 바랍니다 회사던 인간관계던 여러 갈등이 있을수 있습니다만 그 해법에 있어 소통이나 협의보다는 뒷구녕에서 치명타를 날리는 방법만을 궁리하는 이들이 점차 늘어나는 현실입니다 얼굴이 알려진 유명인이기에 누구보다 조심스럽고 약점이 잡힐수 있기에 이를 비열하게 이용하려면 얼마든지 할수가 있습니다만 이번엔 머리나쁜 애들이 어설프게 감정배설 하려다가 파토났네요 응당의 책임을 묻는게 이 사회의 건전한 관계를 위한 대의입니다,@rpmidle4647
로 감시했으면 의자 그렇게 앉은거 뿐만아니라 대표부부 없을때 까지보고 카톡으로 다 지적했을걸,@swws430
언론 보도 특성상 과장된게 있을것같아 일단 중립기어 박고 있었지만 어쨋든 직원 메신저 몰래 본거나 다소 강압적인 태도 임금갖고 말바뀐건 입장차이는 있지만 팩트다 정도로 정리하면 되는거네 퇴사자들이 자기 불만 집대성해서 토로하는 잡플래닛 리뷰를 끌고와서 이슈화시키는게 맞나 싶은생각은 있지만 갠적으로 가족운영중에 경영진마인드 제대로 갖고 운영하는 사람 못보긴했음고용인과 직원의 입장차이라는건 당연히 있을수밖에 없는거고 그건 어느정도 인정하고가야되는데 작은 점포 운영하다가 회사 규모가 확 커졌는데도 개인 점포 운영하듯이 하면 저렇게 되는거임폐급 직원이 있을때마다 사장도 똑같이 나가면 결국 나머지 일열심히하는 직원들은 내팽개치고 회사걸고 개싸움하자는 꼴 밖에 안되는거지성급한 여론의 뭇매 때리기 덕에 동정여론이 대세인마당에 소신발언 하자면 갠적으로 비슷한 수준의 유튜버 ㅈ소 다녀본 입장에서 강형욱 회사운영방식보면 잡플래닛에 리뷰 안올라오길 바란게 이상한거라고 생각함,@user-zb8uv5lu1b
힘내세요,@kayjoo30
없는회사있냐 우리는   현장안에밖에만 20개있는대 나도감시당한다고신고하면되냐 절이싫으면중이 나가면되지우린 추석 설날 선물세트도안주는대 난스팸받는게소원이다 공장에서이딴것들일하면 오전일하고 점심에도망간다에 내손목건다ㅉㅉ,@user-qy4bg2wc2k
ㅇㅈ 직원 쓰면 안되는 이유네 특히 ㅍㅁ 진짜 사장들은 여직원 검증하고 뽑자,@yongwoolee-nq3il
회사 메신저 감사기능  업무중에 하는 톡을 감사하는건 아무런 문제될 게 없는데 애초에 그러라고 프로그램에 감사기능도 잇는것 아닌가 그 업무톡에다가 페미니뭐니 편가르기하면서 부적절한 대화 나눈게 징계감이지 임금체불  양아치들이 일 깔짝하고 일부러 연락 차단한다음 퇴직금 실업급여 이런 챙길수잇는건 다 챙기려는 양아치짓 꼼수 부린것 아닌각 얘네 수법이 있나봄 퇴사하고 연락 씹다가 체불됫다  만원 입금됫다 꼬투리잡아서 폭로하고 돈 다뜯어내기,@xg3571
한쪽말만 들어선 안되죠,@user-yv2gv7nv3z
지금 여성시대에서 네이버 기사창에도 좌표찍고 여론조작중입니다,@user-et1yx5gv3k
지금 여성시대에서 네이버 기사창에 대놓고 좌표찍어서 여론조작중 거짓말 같으면 네이버에서 강형욱 검색해서 제일 위에 나오는 기사제목 구글검색하면서  뒤에 여성시대 붙여서 검색해보면 됨 진짜 한국 노괴들 표독함에 치가 떨린다,@user-et1yx5gv3k
기본급이 소액이라도 있는데 9670원을 입금했다고 정상적인 사고방식이 아니다 그리고 그 직원이랑 통화한 내용은 세세하게 기억하면서 노동부랑 전화한 것만 굳이 기억이 안 날 이유가 있나 같은 선상에 있는 일인데 목줄 얘기도 옆에 놓여있던 목줄 던졌다는 말 같던데 39훈련사는 목줄을 놓지 않아서 안 던져요39 이게 무슨 말임 39제가 쓰는 욕이 아니에요39 이 말도 참 화법 특이하다 ㅎㅎ 메신저 내용 보고 한 대응도 감정적인 게 맞고 폭로 직원 얘기가 다 거짓말이라는 생각은 안 듦 같은 상황을 서로 다르게 해석하고 있는 거겠지,@tjdmdgml
안녕하세요미안해요 화이팅 하세요 힘내세요 수고하셨습니다,@user-dn3ol1vt2z
강형욱님도 노년기 오면 시원한 옥상애서 지내보심이 어떨까요,@user-dy6pw5zz5w
훈련사님 저는 훈련사님을 보면서 훈련사룰 꿈꿔오고 있는데 갑자기 이런 논란이 생겨서 정말 놀랐습니다 한 순간에 롤모델이 사라질 수도 있겠다는 생각을 했지만 절대 그러실 분이 아니라는 것을 알고 있어요 힘내시고 항상 응원합니다,@user-ul6iu6jo2z
여시노괴들 댓글본 한남사장들 전부 여직원 안뽑을거같으면 개추ㅋㅋ,@user-od4nc6wv2j
한남거리면서 그 밑에서 일하는 노예들은 뭐임ㅋㅋㅋㅋ ㅇ ㅐ비 ㅇ ㅐ미들이 노예들이라 자식들도 노예인생사는건가,@risch7564
법정 싸움 하셔서 진실밝혀주세요,@user-zc5us3zc3v
직원들 쓰레기,@kwak851025
한남소추거린 남직원 어떻게든 여직원한테 잘보이려고 가오잡으면서 한남거렸는데 고소당해서 인실 ㅂ이나 당해라 ㅋ,@risch7564
이번 사건을 계기로 해서 그 커뮤 사람들 법적 처벌 빨간줄 긋고 감방 가즈아,@user-yc8ut8dn9c
정말 사회생활에서 말단부터 리더까지 해본 사람들만 공감할지도 모르겠지만 내가 경험한바로는사회적지위로 높은 사람만이 항상 갑질을 하는게 아니라는걸 그리고 그 어떤 미친짓도 항상 받아주는 잡플래닛과 노동청이 있다는걸 잡플래닛 돈내면 부정적인 글 뒤로 보내줌 감안하고 생각해보자아무리 긁어모아도 전국 사원보다 전국 대표의 수가 많을 수 없다 법적 문제에서도 기업이 억울해도 사원에 대한 평가를 공유하는 잡플래닛 같은 플랫폼따위는 기대할 수 없다 퇴사하고 다음 회사에서 연락오는 해당 직원에 대한 레퍼런스체크에서나 한마디 하는 정도 순수한 마음으로 사람 믿고 마음좋은 그렇지만 경영엔 초보인 대표들은 뭣되기 쉽다대기업처럼 힘으로 누를 수 있는 큰 기업이 아닌 많은 중소기업 대표들이악덕 중소가 없다는게 아님 주위에 있으면 한번 물어나봐라 내부 을질이 얼마나 무서운지 주관적 견해로 강형욱은 훈련일에 진심이었고 개를 대할 때나 보호자를 대할 때 많은 부분에서 그의 가치관이 일관성있여 보였다 사람이 착한 척 개념있는 척은 어느정도 할 수 있다만 세세한 부분 혹은 무심코 드러나는 표정에서 그런 것 까지 연기하기 어렵다고 생각한다 그렇기에 많은 사람들의 사랑을 받지 않았을까 그럼에도 그게 절대적인 기준일 수 없다는 것도 인정한다그는 그저 좋은 마음으로 한국의 많은 개와 보호자들이 더 좋은 환경에서 더 행복한 일상을 만드는 것에 진심이지 않있을까 하지만 기업 경영은 처음이었음에도 이미 유명세로는 사회적으로 타겟이 되기도 나락가기도 쉬운 이미 너무 유명한 위치에 있지 않았을까정말로 강형욱이 악덕 대표였을까아니면 신분 감춘 전직원의 증거없는 기분상함으로 인한 보복이었을까 아니면 동종업계 누군가의 농락이었을까난 강형욱의 그동안의 행보가 더 신뢰가 간다,@user-rx4xz2dh1f
78년전 일을 당시에는 한마디도 없다가 이제서야 약봉지하나 달랑들고 나와서 즙짜면서 말하는거에 충격받음이걸 무슨수로 거르냐  의도자체가 너무 악의적임 기억도 그렇고 증거준비를 하기에도 가장 안좋은 순간을 노린거 같음,@user-lw6yh3rz2f
전직원도 재번박을 한것만큼훈련사님도 솔직한전직원 반박증거 갇고 있던데강대표의중어떤게 진실인가요전직원 강대표 폭언  녹취록 있다던데,@user-zc5us3zc3v
회사 메신저 관리자모드에 대화 내용을 볼 수 있다는 게 있다면 그건 관리자의 권리 아닌가요 그게 왜 법적인 문제인가요,@ppyun2705
역시 한국말은 끝까지 들어봐야되고 양측 말 다 들어봐야돼,@kind-devil
보듬컴퍼니가 명백하게 잘못한점 9760입금하고 돈 안주려고 한거 에폭시 공사하는데 근무시킨거,@user-gn9pw6ek2f
정말 못됐다 그냥 본인들이 잘못한게맞는데 그걸 숨기고 자신들이 부당한 일 당한것처럼 보일려고 조그마한 실수도 살면서 사람이니까 할수 있는 실수들을 트집잡아서 여론몰이하고 거기다 그저 기사 터트리는 거에만 눈먼 기자들과 뉴스방송사들은 팩트체크도 안하고 내보내서 저 두사람을 바보로 만들어버리네진짜 못된사람들 사회생활해본 사람이면 정말 알겁니다 회사에 저런식으로 뒷담화하고 물흐리는 사람 12명 있고 저사람들 때문에 분위기도 완전 뒤바뀌는거,@dduddu_0314
감시 싫다 휴,@KimSunny99
와정말 이걸  끝까지 보니 진심이 느껴 집니다힘내세요정말 훌륭한 훈련사님 한분을 잃게 되는것 같아 안타깝네요사건반장만 보고 발끈했던 저 자신이 부끄럽네요부디 이시간을 잘 견디시고다시 일어서기를 바랍니다건강하세요믿음을 주셔서 감사합니다,@jjamjjamiminiature5443
강형욱님이 한분야에 탑급인것과 별개로 회사를 운영하는것에는 어느정도 미숙한점이 잇엇던 것도 맞는것 같습니다 팁을 드리자면 여직원수를 반토막 이상내세요 ㅋㅋ그러면 지금보다는 잘 굴러갈겁니다 ㅋㅋ개훌륭도 짤만보고 보듬티비도 쇼츠만 간간히 나오면 보는 편이지만 안락사 사태때 뉴스에 나와서 얘기하시는게 참 인상깊었습니다,@user-en6lj1mz9b
응원합니다 대중선동이 참 무섭네요,@user-ys1gg1zg5y
꾸미는거에 성취감도 못 느끼는 한국 못생긴 아줌마들 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,@user-dt7oi5ss6g
허위 발언 고소합시다 제발 인생 그렇게들 살지 말자 좀 쓰레기들아,@user-se2sv2wk2k
강형욱님 이슈 터지고 나서 근본 없는걸로 바로 물고 뜯는 애들 태반이던데 ㅋㅋㅋㅋ 진짜 인생들 훤히 보이더라,@as-yv9ld
관상은 과학이다,@user-es8im9ri7o
원래 직업의식 좋은 사람일수록 밑에 사람은 불편하게 느낄 수 있음 나도 뷔페에서 일했을 때 볶음밥할 때 옆에 조금 떨어진거 주워서 담으려고 했더니 옆에있던 주방장이 쌍욕하면서 뭐라 하더라 주방 깨끗하고 아무 문제 없는데 그렇게까지 화낼일인가 하고 맘 상했는데 뭐가 맞는지 모르겠다,@kyoo5894
근데 강형욱님은 왜 몇개월전부터 보듬 회사 정리하신거에요 그 이유는 안나온 것 같은데 하필 보듬회사 닫는 시기와 직원 허위 폭로 시기가 겹쳐서 대중들은 꼭 대표 잘못으로 회사문 닫는다 이렇게 생각하게 된 것 같아요ㅜㅜ,@user-ge8yp7ik2b
재반박기사나오는거보니 법정까지 갈거같은데 혼란스럽다 그리고 여기 댓글들도 이상스러울만큼 공격적임 뭐 나만 그렇게 느끼는걸수도 있지만,@user-gd8pb1tz7d
진짜 댓글 안쓰는데 강형욱님 마지막 말씀 듣고 있자니 너무 맘이 아프네요 사람이살면서 완벽한 사람이 얼마나 있겠습니까 보듬이라는 큰 훈련소를 이끌어 나가고 우리 사회에 반려견 보호자의 인식을 이렇게나 많이 변화를 준 분인걸 모두 알고 존경 하기에 지금까지의 보듬이 있었고 옆에계시는 훈련사 분들이 계시는걸껍니다그분들에게 묻고 싶네요 본인은 살면서 그 누구에게 상처한번 주지 않고 살았는지 혹 상처를 받았다면 이런식의 억측과 비방을 하는게 맞는지  보듬을 정리하며 잘 마무리 하고 싶으셨을텐데 너무 마음 아프실거 같아요 그래도 사람들은 알고 있을겁니다 강형욱님이 계셔서 우리 사회가 반려견들과 함께하기 더 나은 사회가 되었고 조중 할 수 있는 사회가 되었어요 조금만 더 힘내시고 하루빨리 좋은 모습으로 만나뵙게 되길 기도하겠습니다,@user-er1gh4dx5i
문제있다구욧 56년동안 일을하며한남사장하고 같이 일을 하며,@user-dt7oi5ss6g
ㅎㄴ ㅅㅊ 발언으로 순식간에 젠더문제로 분위기 몰고 바꾸다니 변호사 능력이 대단하네요,@user-gj4fq3nb7l
이미 연예인티비유투브나오는 유명한 분들한테만 친절할지도여훈련비용 600만원이면 돈없음 절대 강통령 못만나여새나개 나올때만해도 좋은분인거 같았는데많이 믿었는데아쉽네요앞으로 어떤 행보를 보일지 궁금합니다,@user-gg4tj2wi3l
자식처럼 키운 강쥐를 어케안락사를독하디 독한 넘,@user-cn3sy4fz1p
한남사장 못잃는 도태노괴들은 개추ㅋ,@user-od4nc6wv2j
개훌륭에서 개를 악마화하고 해결사 역할을 하는 것이 천편일률적 스토리인데 개에게 너무 가혹 폭력적 조작 느낌이 강해서 아예 안본다 프로그램 방향을 바꿔주시기를 바란다 아예 없애든지,@user-gs8uc4yq8h
강훈련사님이 우리나라 강아지들 행복에 절대적인 영향력을 끼첬다는 어떤분의 댓글 공감합니다훈련사님이 어떻다 하더라도저 말은 간과 해서는 안될것 같습디다,@user-xv1xm5gx7c
처음으로 중립을 지킨 제 자신이 뿌듯했습니다 혹시나 오해하실 분들을 위해 미리 말씀드리지만 항상 중립을 지켜왔는데 이번 만큼 확실하게 해명을 해주고 사과할 부분은 지체없이 사과하시는 모습을 보며 제가 고수해온 중립이라는 입장이 옳다고 느껴져 뿌듯했다는 말입니다 미디어로만 접하긴 했지만 한 아이를 키우고 있는 견주로써 자주 봤던 강형욱 훈련사님의 훈련 영상을 통해 강형욱 훈련사님의 진심 어린 동물을 대하는 마음을 느껴 이번 사건을 보며 마음이 아팠습니다 저도 처음엔 여러명이 말하니까 사실인 부분도 조금 있겠다고 잘못된 생각을 하기도 했습니다 하지만 가만히 생각을 해보면 해볼수록 이상하다고 느껴지는 부분들도 많았고 댓글들을 보며 아직 사실인지도 모르는데 저렇게까지 몰아가야되나 라는 의구심도 들어 중립을 지켰습니다 이 영상을 보며 제가 잘 판단을 내렸다고 생각이 들었고 제가 뭐라고 판단을 내린다고 생각이 들기도 해 댓글도 잘 안 쓰긴 하지만 이번 영상에서 만큼은 강형욱 훈련사님이 혹시나 이 글을 보시고 조금이나마 힘이 드실 수도 있지 않으실까라고 생각이 들어 쓰게됐습니다 저는 올해 고2입니다 흔히 여러분들이 말하시는 세대로써 미디어를 어렸을때부터 접한 세대입니다 하지만 나이를 먹으면 먹을수록 댓글에서 희망적인 글들이 없어지는 것을 느끼고 있습니다 최근에 들어서는 남을 바닥 끝까지 끌어내리려하다가 또 해명 영상이나 사실은 그렇지 않았다 라는 영상이 올라오면 저는 믿고 있었어요 라는 글들을 쓰며 한 사람을 순식간에 허탈하게 또는 허무하게 만들어버리는 걸 많이 봤습니다 저는 이런 댓글과 콘텐츠를 보며 현재 자라나고 있는 아이들이 어떻게 성장할지 감히 상상도 되지 않을만큼 두렵습니다 흔히 나이값이라고 하죠 제발 모든 연령층이 보고 접하는 댓글과 콘텐츠에서 그 나이에 맞는 수준의 언어와 행동을 보여주셨으면 합니다 이렇게 긴 글을 봐주셔서 감사하고 강형욱 훈련사님의 앞으로의 미래가 밝길 멀리서 바라고 있겠습니다 화이팅,@sksl8495
그냥 강형욱이 잘나가니까 한국여자들이 질투한 사건이네 ㅋㅋ 왜 지들이 강형욱을 질투해  지들이 질투할 급인가 ㅋㅋㅋㅋㅋ ㄱ ㅐ돼지처럼 회사 노예로 살아야하는 인생들이 ㅋㅋ,@risch7564
이 논란 처음 터졌을때 쳐 누워서 일 안하고 놀던 여직원이 저랬을 거다 라고 누가 설레발 쳤는데 개 소름돋게 정확하네,@Inbade_Not-kim
훈련사님 나와나의 반려견의 관계를 누가 이해해 주진 못합니다 저도 반려견이 무지개 다리를 건너가기전 나의 일상에 일도해야하고 함께 하고 싶지만 하지못할때 맘이 너무 아팠어요 과연 그들도 그들의 반려견이 그정도 아팠다면 과연 그들도 직장 그만두고 백퍼 온전히 자신의 반려견과 24시간 함께 할수있을지 의문이고 이렇게 쉽게 자신도 감당 못할 책임감을 당연시 여기며 말하는데요 반려견 키우시는 분들은 회사에 반려견땜에 일못한다고 할수있는 현실이 아닌거 우리모두 알아요 반려견과 함께 하는 삶에 너무나 진심 이었던 분이셨고 아름다운 것 만 강조하지 않고 어우러져 사는  현실적인 것들을 강조하셨던 안전 위주의 훈련과정 넘 신뢰가 됬어요 힘내시고 계속 이런 소수땜에 이렇게 훌륭한분 아직도 갈길이 먼데 시간이 흘러 그래도 역시 개통령으로 이만큼 왔고 그래도 우리가 믿었던 게 맞구나 하는 생각이 들수있도록 버텨주세요 그어느 누구도 백퍼 사람을 만족 하게 할수 없어요 그들 또한 훈련사님 위치에 있다면 직원들 백퍼 만족 시킬수 있을지 궁금하네요 이런 인성 이라면 말이죠,@sulieu3373
힘 내세요  지혜롭게 이겨내시길  응원합니다,@user-fo7rq5es8e
여성민우회남혐 및 여성 우월주의 벌이면서 성별갈등 조장의 1등공신,@user-wo2ld4xj4x
10년동안 지켜본 강형욱은 한 분야에 탑을찍고 커리어를 유지한 정점을찍은 전문가다 그가 한 모든 과거의 행동에서 드러난다개통령말 잘 들어라 아그들아 징징대고 구라치지말고,@pdnj6913
학교에서도 학폭 가해자 일진 왕따 가해자들이 남자보다 여자들이 그런짓을 많이 한다는 거지,@JWK-we3sv
레오 보내신 핸들러분 너무 불쌍하다강형욱만 아니었음 은퇴 후 입양해서 같이 잘 살았을텐데영리 목적으로 이용하지 말아달라 부탁했지만 유튜브 콘텐츠로 뽕뽑고 사지육신 아픈데도 옥상 뙤약볕에 방치했다는거잖아,@wldbs4752
페미니즘 요새 두들겨패서 죽은 줄 알았더니 아직도 그 망령들이 있네요 진짜 사회에서 얼굴 못들고다니게 두고두고 까고 매장시켜야합니다,@user-ok4yv7pf9s
예전에 김영애황토팩  사업 언론이말아 먹었죠 그 선동에 저도 황토팩산거 다 버린 기억이 언론이 정말 중요한 역할을 하는데,@GGOMA.
레오는 ㅠㅠㅠㅠ맘 아프다 같은 나이 15살에 하늘로 간 우리 빰뽀 소중한 반려견 떠나보낸 사람들만 이해할수 있는 말이야 저말 마음이 너무 아프다,@Yunaq95
강형욱 해명 요약 ㅅㅂ 도와줘 한남들아,@wldbs4752
팩트로 한가지만 말씀드리겠습니다 4 대보험 가입되어있을거고 짤리면 실업급여 받아먹으려고 그러는거로밖에 안보입니다,@user-pv6in9vx6z
